"Algeria","Argentina","Australia","Austria","Belgium","Bolivia","Brazil","Canada","Chile","China","Colombia","Czechia","Denmark","Eastern.Europe.Central.Asia","Egypt","Ethiopia","Finland","France","Germany","Greece","Hungary","India","Indonesia","Iran","Ireland","Israel","Italy","Japan","Kenya","Malaysia","Mexico","Morocco","Netherlands","New.Zealand","Nigeria","Norway","Pakistan","Peru","Philippines","Poland","Portugal","Rest.of.EU","Rest.of.Middle.East.Africa","Rest.of.South.America","Rest.of.South.Asia.Oceania","Romania","Russia","Saudi.Arabia","Singapore","Slovakia","South.Africa","South.Korea","Spain","Sweden","Switzerland","Taiwan","Thailand","Turkey","United.Arab.Emirates","United.Kingdom","United.States","Uruguay","Venezuela","Vietnam","Western.Europe.non.EU"
0.95,3.230684910808e-08,3.20989955320793e-08,1.41853034279786e-07,2.20310091675633e-06,4.90525682791378e-07,2.23120424071759e-11,4.45060471565559e-08,9.65982478462462e-08,2.45132788724595e-13,7.76770299051427e-08,1.44788267822877e-07,1.75291531313852e-06,5.9639098491178e-08,5.32935017195753e-09,0,4.49888831008041e-07,8.70461890671055e-06,2.82170451608688e-07,1.53347538397649e-07,2.1892351176468e-31,1.52825058868877e-56,4.66909899926333e-39,2.67140672019677e-09,2.88337029072015e-07,1.22638490784753e-07,6.34467395672179e-07,7.73596833906173e-09,0,4.80941394973422e-24,9.58339359244863e-09,9.403094734467e-08,6.92614887771528e-08,3.20653039498233e-07,0,5.16169294667638e-07,1.23682918722591e-09,3.88800911915721e-07,4.24479414238056e-18,7.02154225524719e-08,2.5685362071561e-06,5.93295388808331e-08,9.36873914960537e-06,3.72308043062564e-08,4.97888209916531e-08,4.39274299122115e-06,6.61000279949181e-09,1.8235817448955e-06,6.16716558938178e-07,4.94071885551019e-08,1.68310295987111e-09,1.67248097067109e-07,3.40130940625535e-06,1.92027003225884e-07,2.23074004297763e-07,6.23842943081407e-08,2.25011605958951e-22,9.88507463470116e-08,7.72809639569438e-06,5.18636583985495e-06,4.55323898814649e-09,2.11989643611761e-07,9.31598868788335e-09,2.13652523277845e-09,1.0769871993305e-07
4.72070960297351e-57,0.272805714419256,6.19996971609179e-54,1.12354062468971e-55,8.43715297744104e-55,3.22029744093495e-53,5.05714587613833e-31,6.44022368919047e-55,1.07829579337887e-51,1.41686904112928e-63,1.02220690269638e-50,7.06516050593979e-55,4.85773218096244e-55,2.80590493373886e-54,5.90756175093172e-45,0,3.96875604921395e-54,7.98201949934527e-54,6.00191250389208e-54,8.34495610060708e-55,7.36364389119555e-82,1.59913489463093e-106,1.42162518492934e-89,1.83258025052928e-36,1.14222111958429e-54,4.07855287583466e-56,3.05080663344101e-54,2.90405603691352e-54,0,3.04394725159501e-57,5.26090391134281e-53,6.24285069811903e-56,5.74589751423105e-56,1.8202207089794e-51,0,1.29696681128058e-54,2.48205846478038e-14,1.74826268980949e-51,9.03848219921533e-69,1.90673656639616e-56,8.68640369119667e-54,1.51243382133274e-54,1.91405789545018e-54,3.09248457654742e-52,1.40218309358056e-53,2.82712177414528e-53,6.42938089982266e-59,8.89779733302156e-57,1.31375400646502e-55,9.09583103322015e-57,5.99152978645388e-55,5.36457095084122e-56,2.61460993609396e-54,1.14503002187164e-55,5.89842957011052e-55,1.59717318478713e-56,1.10992580466485e-54,3.55258500942919e-56,4.70782126110879e-55,1.62727615598393e-54,1.67744550649571e-53,6.52209547528681e-27,4.4962711395718e-55,6.03964268186811e-57,3.9207525811738e-56
3.36695557709371e-10,1.87426922840845e-08,0.00314154919278805,5.22639418392808e-05,3.49323490859789e-07,1.48237370412332e-07,9.61694209635917e-13,5.44369953166997e-07,6.68012475450302e-06,1.95819794337098e-13,5.46609002987643e-09,5.64652083489446e-07,3.58882881657369e-06,5.30233362709439e-06,1.31725733974168e-08,0,1.94787292808273e-05,1.6314552235507e-06,6.18078607682722e-07,2.43735302644765e-06,3.20252663927499e-33,1.10237676982181e-57,3.91111580028095e-40,5.88404110743531e-10,2.296788955468e-05,1.64417043427836e-07,1.20585624044e-07,1.49986249963274e-06,0,3.36434570016279e-21,3.93597264556513e-08,5.5336809632767e-09,5.83420184978919e-07,0.0221656749918956,0,1.05656831345667e-06,4.27789654248696e-06,3.77567556381083e-08,2.63034564754271e-19,2.03739560398753e-07,4.11277235337359e-07,1.72773692219354e-06,2.55367386815422e-05,1.21966669423357e-07,3.81246006431303e-05,2.74768198256578e-07,3.19148336206124e-12,6.25621741561054e-05,8.65629420994325e-05,3.70467940672758e-07,5.37678204127336e-08,6.22311919188081e-09,5.13731909857486e-08,9.28458912860745e-07,1.32583281222283e-06,5.42263672655905e-08,3.39582901961718e-19,1.89143084692048e-08,8.32533556303473e-05,3.29728767166942e-05,1.05944238141206e-05,3.37663465538441e-08,2.77509699431308e-12,2.61129030416391e-09,4.64910074745009e-09
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.88696832513823e-08,0.000135601839557149,0.000453953543378061,0.00459219039899415,0.0274276736523864,3.6594688931457e-07,8.21522795683242e-08,0.000111683944372993,0.000129604349874833,2.70709491033084e-10,8.38617636774959e-05,0.0034202449734488,0.0311214573283699,0.000337437929528014,1.06058193840051e-06,0,0.0118874480501734,0.00284331797172925,0.00631374887409552,0.0139633593466303,3.24327298926268e-34,5.42103950914358e-55,3.52868842352566e-40,2.48581130312033e-09,0.000951023781270399,0.00214894327650873,0.00534722547225625,0.000954653607093279,0,7.61101286757593e-23,1.47711031531863e-05,0.000589197642714218,0.0613851345476781,0.00169050817196496,0,0.00385430852284062,5.79631441131111e-08,1.37701161682014e-05,1.58126516089521e-17,0.00183247062131546,0.0147449743518044,0.00626606667616615,0.000455642273554829,2.86242108820638e-05,6.9367555184596e-06,0.00504368725347089,2.86300109480293e-06,7.58899453143407e-07,0.00067107406910437,0.000116306607382757,6.9212821570585e-06,1.66696998237851e-05,0.000881998145577373,0.0655498945427547,0.00433819158335614,0.000560768804386569,3.0588382316534e-21,7.18145866950795e-05,2.07989319764556e-05,0.061720101851189,0.000113474389227355,5.27465384932525e-06,1.2224239431052e-11,1.98656425443757e-08,0.00181939288029573
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.63011885770084e-09,0.638574994983251,4.47295911489359e-05,2.17568221814924e-05,1.1143836813621e-05,0.102018806845427,0.983746898969041,2.53633741350758e-06,0.0925669963886724,1.11291152805369e-12,0.105566328850789,0.00012691387876963,1.04112095866531e-07,9.24220625263042e-05,2.53077260708931e-06,0,6.58271417650945e-05,4.03357872959861e-05,3.9569392528313e-05,9.66306878028478e-08,2.39232821993627e-32,1.39581900445545e-56,6.71710106468646e-40,2.03743971179502e-09,1.75192007235726e-05,3.1807459939317e-07,0.000203987984711363,2.01061981315792e-05,0,2.17039466081805e-18,0.0397106027062914,4.44528376614163e-07,1.81196243169063e-05,1.13864736435019e-05,0,9.69803046385425e-06,7.6868151914258e-10,0.0307480435452624,1.58179947232805e-20,0.00377418750973541,6.77442405043674e-05,1.72254692832307e-05,5.29206743968939e-05,0.0012450942859491,6.39256033432731e-08,0.000228851798725785,1.16565997308692e-10,5.03533255812008e-08,2.0080373180142e-06,1.10565526943187e-06,7.73193262308868e-07,4.38699127620891e-05,1.81837651848151e-05,3.55834574823734e-06,0.000108645456855446,1.8165817869632e-08,1.73389533256417e-17,3.85315583531674e-08,1.69011971914105e-05,7.89909038193504e-05,9.79858160140467e-05,0.669741311888651,8.40213482142908e-07,8.70444675912426e-09,3.87397114158023e-08
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000501930224115501,0.0176222997902563,0.0605206027013391,0.00123322157854282,0.0025583530933237,0.269079347230849,0.000350483140446808,0.112071321919235,0.407119730545792,0.998409754260008,0.0126757525610693,0.0523810936079634,0.0367475869461837,0.0524018010524551,0.0164627752880927,0,0.0538640098262086,0.000868102632858541,0.0173522726749729,0.00979977726587191,4.50947552661469e-23,6.37373348279595e-47,1.9762281452437e-31,6.96917823353331e-05,0.00884510822030698,0.0730849402590835,0.00491348314658882,0.000699938230881959,0,1.7379216947733e-16,0.0734216827257991,0.00132763242903353,0.0485017332345518,0.0800298304720133,0,0.0955100706093796,8.76247093331875e-05,0.1277392370571,5.69510820921702e-09,0.0307947641146729,0.00186138745415661,0.0105731069337515,0.141048723124521,0.110947016197576,0.39573945865881,0.00490968585465244,0.0113163797675791,0.121022397085338,0.0346021097567694,0.000242808643717171,0.00317345908305328,0.00713565900565833,0.00938627749935123,0.0813851808952909,0.0191720038737573,0.000892396936793603,1.18039971292916e-15,0.00297954038659617,0.0344045390667288,0.0611689432265848,0.268192310393685,0.0859051980448682,0.0538766470023076,0.00196731131047097,0.00654798211354174
